player_id,name,skill_rating,volatility,birdie_boost,bogey_avoidance,par3_skill,par4_skill,par5_skill,consistency,aggression
P001,Elite Champion,95,0.25,0.12,0.15,2,1,3,0.20,0.30
P002,World Class Star,93,0.28,0.10,0.14,2,2,2,0.18,0.25
P003,Top Contender,91,0.22,0.11,0.13,1,1,3,0.25,0.28
P004,Major Winner,90,0.30,0.09,0.12,2,0,2,0.15,0.22
P005,Consistent Elite,88,0.20,0.08,0.16,1,2,1,0.35,0.15
P006,Power Player,87,0.35,0.13,0.08,0,-1,3,0.08,0.50
P007,Steady Veteran,86,0.23,0.07,0.15,2,1,0,0.40,0.12
P008,Rising Elite,85,0.32,0.10,0.10,1,0,3,0.12,0.35
P009,Tour Winner,84,0.26,0.09,0.11,0,2,2,0.22,0.20
P010,Clutch Performer,83,0.29,0.08,0.09,2,1,1,0.18,0.25
P011,Ball Striker,82,0.24,0.06,0.14,1,2,-1,0.30,0.10
P012,Long Hitter,81,0.38,0.11,0.06,-1,-2,3,0.05,0.55
P013,Iron Player,80,0.22,0.07,0.13,2,2,0,0.35,0.08
P014,Grinder Pro,79,0.25,0.06,0.12,1,1,1,0.40,0.10
P015,Aggressive Ace,78,0.40,0.12,0.05,0,0,3,0.08,0.60
P016,Steady Eddie,77,0.21,0.05,0.14,1,2,0,0.45,0.05
P017,Euro Star,76,0.33,0.09,0.09,0,1,2,0.15,0.30
P018,Putter Master,75,0.27,0.08,0.11,2,0,1,0.25,0.18
P019,Young Gun,74,0.36,0.10,0.07,-1,1,3,0.10,0.45
P020,Veteran Pro,73,0.24,0.06,0.12,1,1,0,0.38,0.10
P021,Solid Player,72,0.28,0.07,0.10,0,1,1,0.22,0.20
P022,Course Specialist,71,0.26,0.08,0.11,2,1,-1,0.30,0.15
P023,Tour Regular,70,0.30,0.07,0.09,0,0,2,0.18,0.22
P024,Comeback Kid,69,0.34,0.09,0.08,-1,2,2,0.12,0.35
P025,Journeyman,68,0.29,0.06,0.10,1,0,1,0.25,0.18
P026,Scrambler,67,0.32,0.08,0.08,0,-1,2,0.15,0.28
P027,Shot Maker,66,0.27,0.07,0.10,2,1,-1,0.28,0.15
P028,Distance Expert,65,0.40,0.10,0.05,-2,0,3,0.05,0.52
P029,Precision Pro,64,0.23,0.05,0.12,2,2,-1,0.40,0.08
P030,Tour Rookie,63,0.35,0.08,0.07,0,0,2,0.15,0.30
P031,Qualifier A,62,0.31,0.06,0.09,1,1,0,0.22,0.20
P032,Qualifier B,61,0.33,0.07,0.08,0,-1,2,0.18,0.25
P033,International,60,0.29,0.06,0.09,1,0,1,0.25,0.18
P034,Monday Warrior,59,0.37,0.08,0.07,-1,1,2,0.12,0.35
P035,Local Hero,58,0.32,0.06,0.08,0,1,1,0.20,0.22
P036,Sponsor Exemption,57,0.40,0.09,0.05,-1,0,3,0.08,0.48
P037,Club Pro A,56,0.34,0.05,0.08,1,0,0,0.28,0.15
P038,Club Pro B,55,0.36,0.06,0.07,0,-1,2,0.15,0.30
P039,Amateur Champion,54,0.42,0.08,0.05,-2,1,3,0.10,0.50
P040,College Star,53,0.38,0.07,0.06,0,0,2,0.18,0.28
P041,Invitee A,52,0.35,0.05,0.08,1,1,-1,0.22,0.18
P042,Invitee B,51,0.39,0.07,0.06,-1,0,2,0.15,0.32
P043,Wild Card,50,0.44,0.08,0.04,-2,0,3,0.08,0.55
P044,Long Shot A,49,0.40,0.06,0.06,0,-1,1,0.18,0.25
P045,Long Shot B,48,0.42,0.07,0.05,-1,1,2,0.12,0.35
P046,Underdog,47,0.45,0.08,0.04,-2,0,3,0.10,0.48
P047,Dark Horse,46,0.38,0.05,0.07,1,0,0,0.22,0.20
P048,Hopeful,45,0.41,0.06,0.06,0,-1,2,0.15,0.30
P049,Dreamer,44,0.43,0.07,0.05,-1,1,1,0.12,0.35
P050,Last Chance,43,0.46,0.08,0.04,-2,0,3,0.08,0.50
P051,Veteran Grinder,68,0.28,0.06,0.11,2,1,0,0.35,0.12
P052,Big Hitter,67,0.42,0.11,0.05,-2,-1,3,0.05,0.58
P053,Touch Master,66,0.26,0.07,0.11,2,0,-1,0.32,0.10
P054,Comeback Story,65,0.33,0.08,0.08,0,1,2,0.15,0.28
P055,Former Winner,64,0.30,0.07,0.09,1,1,1,0.25,0.18
P056,International Star,63,0.32,0.08,0.08,0,0,2,0.18,0.25
P057,Young Talent,62,0.38,0.09,0.06,-1,1,3,0.10,0.42
P058,Solid Veteran,61,0.27,0.06,0.10,1,2,0,0.30,0.15
P059,Streaky Player,60,0.45,0.10,0.04,-1,0,3,0.05,0.60
P060,Tour Staple,59,0.31,0.07,0.09,0,1,1,0.22,0.20
P061,Surprise Entry,58,0.36,0.08,0.07,0,0,2,0.15,0.32
P062,Qualifier C,57,0.34,0.06,0.08,1,0,1,0.25,0.18
P063,Qualifier D,56,0.37,0.07,0.07,0,-1,2,0.18,0.28
P064,Regional Champ,55,0.40,0.08,0.06,-1,1,2,0.12,0.38
P065,Mini Tour Star,54,0.39,0.07,0.06,0,0,2,0.15,0.30
P066,Teaching Pro,53,0.33,0.05,0.09,2,1,-1,0.35,0.10
P067,Club Champion,52,0.41,0.07,0.05,0,-1,2,0.12,0.35
P068,Amateur Star,51,0.43,0.08,0.05,-1,1,3,0.10,0.45
P069,State Champ,50,0.42,0.06,0.06,1,0,1,0.18,0.25
P070,College Phenom,49,0.44,0.08,0.04,-2,0,3,0.08,0.48
P071,Mid-Am Champ,48,0.40,0.05,0.07,1,1,0,0.25,0.18
P072,Senior Tour Pro,67,0.26,0.06,0.12,2,2,-1,0.38,0.08
P073,Resurgent Vet,66,0.31,0.08,0.09,1,1,1,0.22,0.20
P074,Past Champion,65,0.29,0.07,0.10,2,0,1,0.28,0.15
P075,Lifetime Exemption,64,0.32,0.08,0.08,1,1,1,0.25,0.18
P076,Fan Favorite,63,0.35,0.09,0.07,0,0,2,0.15,0.30
P077,Sentimental Pick,62,0.34,0.07,0.08,1,0,1,0.22,0.20
P078,Legend Return,61,0.30,0.06,0.10,2,1,0,0.32,0.12
P079,Blast From Past,60,0.33,0.07,0.09,1,1,1,0.25,0.18
P080,Hall of Famer,59,0.31,0.06,0.10,2,2,-1,0.35,0.10
P081,International Entry,58,0.36,0.08,0.07,0,0,2,0.18,0.28
P082,Foreign Star,57,0.35,0.07,0.08,1,-1,2,0.15,0.30
P083,Euro Qualifier,56,0.38,0.08,0.06,0,1,2,0.12,0.35
P084,Asian Tour Pro,55,0.37,0.07,0.07,1,0,1,0.20,0.25
P085,Latin American,54,0.40,0.08,0.06,0,-1,2,0.15,0.32
P086,Oceania Rep,53,0.39,0.07,0.06,0,1,1,0.18,0.28
P087,African Star,52,0.41,0.08,0.05,-1,0,2,0.12,0.38
P088,Canadian Pro,51,0.42,0.07,0.05,0,1,2,0.15,0.30
P089,Mexican Entry,50,0.43,0.08,0.05,-1,0,2,0.10,0.40
P090,Caribbean Ace,49,0.44,0.07,0.04,-2,1,3,0.08,0.45
